,g,date,time,day,school,home/away,opponent,conf,w/l,pts,opp,w,l,streak,notes,pct_passing,yds_passing,td_passing,yds_rushing,avg_rushing,td_rushing,yds_tot_off,avg_tot_off.,tot_first_downs,no_penalties,tot_turnovers,team
0,1,2023-09-02,3:30 PM,Sat,Boise State,@,(10) Washington,Pac-12,L,19,56,0,1,L 1,,46.8,264,1,138,4.9,1,402,5.4,21,3,2,boise state
1,2,2023-09-09,7:00 PM,Sat,Boise State,,UCF,Big 12,L,16,18,0,2,L 2,,51.9,211,2,173,4.4,0,384,5.8,22,4,1,boise state
2,3,2023-09-16,12:00 PM,Sat,Boise State,,North Dakota,Non-Major,W,42,18,1,2,W 1,,66.7,262,2,132,3.8,4,394,5.8,22,4,3,boise state
3,4,2023-09-22,10:30 PM,Fri,Boise State,@,San Diego State,MWC,W,34,31,2,2,W 2,,54.5,162,1,241,5.9,3,403,6.4,19,4,0,boise state
4,5,2023-09-30,4:00 PM,Sat,Boise State,@,Memphis,American,L,32,35,2,3,L 1,,60.5,375,2,144,4.5,2,519,7.4,24,3,0,boise state
5,6,2023-10-07,8:00 PM,Sat,Boise State,,San Jose State,MWC,W,35,27,3,3,W 1,,54.2,230,2,262,6.2,3,492,7.5,22,3,3,boise state
6,7,2023-10-14,9:45 PM,Sat,Boise State,@,Colorado State,MWC,L,30,31,3,4,L 1,,62.5,138,0,246,5.7,3,384,5.7,23,9,4,boise state
7,8,2023-10-28,5:30 PM,Sat,Boise State,,Wyoming,MWC,W,32,7,4,4,W 1,,71.4,216,2,227,4.5,2,443,6.2,24,3,2,boise state
8,9,2023-11-04,10:00 PM,Sat,Boise State,@,Fresno State,MWC,L,30,37,4,5,L 1,,52.2,311,1,177,5.2,2,488,6.1,25,4,2,boise state
9,10,2023-11-11,10:00 PM,Sat,Boise State,,New Mexico,MWC,W,42,14,5,5,W 1,,57.9,265,2,219,5.2,3,484,7.9,24,4,0,boise state
10,11,2023-11-18,7:00 PM,Sat,Boise State,@,Utah State,MWC,W,45,10,6,5,W 2,,44.4,93,2,352,7.3,4,445,6.7,19,3,0,boise state
11,12,2023-11-24,4:00 PM,Fri,Boise State,,Air Force,MWC,W,27,19,7,5,W 3,,76.5,228,1,181,4.8,2,409,7.4,19,1,2,boise state
12,13,2023-12-02,3:00 PM,Sat,Boise State,@,Nevada-Las Vegas,MWC,W,44,20,8,5,W 4,MWC Championship Game,80.0,226,2,301,5.9,3,527,8.0,23,3,2,boise state
13,14,2023-12-16,7:30 PM,Sat,Boise State,N,UCLA,Pac-12,L,22,35,8,6,L 1,LA Bowl,57.1,117,0,215,5.8,2,332,5.7,15,4,1,boise state
0,1,2023-08-26,8:00 PM,Sat,San Jose State,@,(6) USC,Pac-12,L,28,56,0,1,L 1,,53.8,198,3,198,7.3,1,396,6.0,23,3,0,san jose state
1,2,2023-09-03,3:30 PM,Sun,San Jose State,,(18) Oregon State,Pac-12,L,17,42,0,2,L 2,,59.5,232,1,56,2.5,1,288,4.5,20,5,1,san jose state
2,3,2023-09-09,4:00 PM,Sat,San Jose State,,Cal Poly,Non-Major,W,59,3,1,2,W 1,,65.2,205,2,267,6.2,5,472,7.2,24,6,0,san jose state
3,4,2023-09-16,7:00 PM,Sat,San Jose State,@,Toledo,MAC,L,17,21,1,3,L 1,,58.5,228,1,40,1.4,1,268,3.8,18,4,1,san jose state
4,5,2023-09-22,10:30 PM,Fri,San Jose State,,Air Force,MWC,L,20,45,1,4,L 2,,68.6,239,0,115,6.8,3,354,6.8,18,6,1,san jose state
5,6,2023-10-07,8:00 PM,Sat,San Jose State,@,Boise State,MWC,L,27,35,1,5,L 3,,60.5,325,0,104,4.0,3,429,6.7,19,7,1,san jose state
6,7,2023-10-14,6:00 PM,Sat,San Jose State,@,New Mexico,MWC,W,52,24,2,5,W 1,,47.1,272,2,259,8.1,4,531,10.8,18,11,0,san jose state
7,8,2023-10-21,7:00 PM,Sat,San Jose State,,Utah State,MWC,W,42,21,3,5,W 2,,75.0,119,3,251,4.9,3,370,5.2,25,4,2,san jose state
8,9,2023-10-29,12:00 AM,Sun,San Jose State,@,Hawaii,MWC,W,35,0,4,5,W 3,,61.5,251,2,217,4.8,3,468,6.6,22,5,1,san jose state
9,10,2023-11-11,10:30 PM,Sat,San Jose State,,Fresno State,MWC,W,42,18,5,5,W 4,,50.0,146,3,313,7.3,2,459,7.5,21,8,0,san jose state
10,11,2023-11-18,10:30 PM,Sat,San Jose State,,San Diego State,MWC,W,24,13,6,5,W 5,,75.0,174,1,181,6.2,2,355,7.2,19,1,1,san jose state
11,12,2023-11-25,3:00 PM,Sat,San Jose State,@,Nevada-Las Vegas,MWC,W,37,31,7,5,W 6,,73.1,249,2,233,5.8,2,482,7.3,21,6,0,san jose state
12,13,2023-12-23,10:30 PM,Sat,San Jose State,N,Coastal Carolina,Sun Belt,L,14,24,7,6,L 1,Hawaii Bowl,53.3,215,1,159,6.4,1,374,6.8,22,8,2,san jose state
0,1,2023-09-02,4:00 PM,Sat,Nevada-Las Vegas,,Bryant,Non-Major,W,44,14,1,0,W 1,,62.5,126,0,268,6.7,5,394,6.2,20,6,2,nevada las vegas
1,2,2023-09-09,3:30 PM,Sat,Nevada-Las Vegas,@,(2) Michigan,Big Ten,L,7,35,1,1,L 1,,57.7,168,0,61,2.0,1,229,4.0,15,3,0,nevada las vegas
2,3,2023-09-16,7:00 PM,Sat,Nevada-Las Vegas,,Vanderbilt,SEC,W,40,37,2,1,W 1,,56.8,276,1,127,3.2,2,403,5.2,21,10,2,nevada las vegas
3,4,2023-09-23,9:00 PM,Sat,Nevada-Las Vegas,@,UTEP,CUSA,W,45,28,3,1,W 2,,55.6,190,0,307,6.4,6,497,6.6,23,10,1,nevada las vegas
